# Positions de référence des 58 étoiles de navigation.
# Source : SIMBAD (CDS), table basic, interrogée par désignation de Bayer.
# Récupéré le 2026-08-19 par tools/fetch-star-reference.mjs.
# ICRS, époque J2000 ; ra et dec en degrés ; mouvements propres en mas/an.
# La colonne bib donne la référence bibliographique de la POSITION :
#   2007A&A...474..653V = van Leeuwen, réduction Hipparcos de 2007
#   1997A&A...323L..49P = catalogue Hipparcos d’origine
#   2020yCat.1350....0G = Gaia EDR3
name;bayer;hip;main_id;ra_deg;dec_deg;pm_ra;pm_dec;bib
Alpheratz;α And;677;* alf And;2.096916186;29.090431118;137.46;-163.44;2007A&A...474..653V
Ankaa;α Phe;2081;* alf Phe;6.571047515;-42.305987194;233.05;-356.30;2007A&A...474..653V
Schedar;α Cas;3179;* alf Cas;10.126846008;56.537329217;49.13;-31.59;2020yCat.1350....0G
Diphda;β Cet;3419;* bet Cet;10.897378736;-17.986606316;232.55;31.99;2007A&A...474..653V
Achernar;α Eri;7588;* alf Eri;24.428522833;-57.236752806;87.00;-38.24;2007A&A...474..653V
Hamal;α Ari;9884;* alf Ari;31.793357100;23.462417550;188.55;-148.08;2007A&A...474..653V
Polaris;α UMi;11767;* alf UMi;37.954560670;89.264108970;44.48;-11.85;2007A&A...474..653V
Acamar;θ Eri;13847;* tet Eri;44.565313557;-40.304681227;-52.89;21.98;2007A&A...474..653V
Menkar;α Cet;14135;* alf Cet;45.569887803;4.089738772;-10.41;-76.85;2007A&A...474..653V
Mirfak;α Per;15863;* alf Per;51.080708718;49.861179293;23.75;-26.23;2007A&A...474..653V
Aldebaran;α Tau;21421;* alf Tau;68.980162790;16.509302351;63.45;-188.94;2007A&A...474..653V
Rigel;β Ori;24436;* bet Ori;78.634467067;-8.201638365;1.31;0.50;2007A&A...474..653V
Capella;α Aur;24608;* alf Aur;79.172327944;45.997991470;75.25;-426.89;2007A&A...474..653V
Bellatrix;γ Ori;25336;* gam Ori;81.282763557;6.349703264;-8.11;-12.88;2007A&A...474..653V
Elnath;β Tau;25428;* bet Tau;81.572971332;28.607451725;22.76;-173.58;2007A&A...474..653V
Alnilam;ε Ori;26311;* eps Ori;84.053388941;-1.201919136;1.44;-0.78;2007A&A...474..653V
Betelgeuse;α Ori;27989;* alf Ori;88.792938991;7.407063995;27.54;11.30;2007A&A...474..653V
Canopus;α Car;30438;* alf Car;95.987957829;-52.695661384;19.93;23.24;2007A&A...474..653V
