# Positions apparentes géocentriques des quatre planètes de navigation.
# Source : JPL Horizons (ssd.jpl.nasa.gov), quantité 2 — apparentes, sans réfraction.
# Récupéré le 2026-08-20 par tools/fetch-planet-reference.mjs.
# Instants en UTC ; ra et dec en degrés, équinoxe et équateur de la date.
body;utc;ra_deg;dec_deg
Venus;1900-01-01T00:00:00Z;309.207955;-20.318606
Venus;1900-02-15T00:00:00Z;1.847766;0.029823
Venus;1900-04-01T00:00:00Z;51.373649;20.849762
Venus;1900-05-16T00:00:00Z;99.961221;26.617496
Venus;1900-06-30T00:00:00Z;111.993226;19.533604
Venus;1900-08-14T00:00:00Z;101.818039;17.464924
Venus;1900-09-28T00:00:00Z;140.790458;14.191154
Venus;1900-11-12T00:00:00Z;189.504414;-2.199448
Venus;1950-01-01T00:00:00Z;319.234862;-15.151216
Venus;1950-02-15T00:00:00Z;304.213653;-11.633208
Venus;1950-04-01T00:00:00Z;326.429787;-11.398565
Venus;1950-05-16T00:00:00Z;11.018717;2.838004
Venus;1950-06-30T00:00:00Z;61.313751;19.031219
Venus;1950-08-14T00:00:00Z;118.917880;20.961887
Venus;1950-09-28T00:00:00Z;173.428759;4.405542
Venus;1950-11-12T00:00:00Z;226.270295;-16.692689
Venus;2000-01-01T00:00:00Z;239.272307;-18.313617
Venus;2000-02-15T00:00:00Z;298.037358;-20.852996
Venus;2000-03-31T00:00:00Z;352.886208;-4.640581
Venus;2000-05-15T00:00:00Z;44.887500;16.051799
Venus;2000-06-29T00:00:00Z;103.528407;23.618985
Venus;2000-08-13T00:00:00Z;159.934329;10.024492
Venus;2000-09-27T00:00:00Z;210.696564;-12.405925
Venus;2000-11-11T00:00:00Z;267.218483;-25.405339
Venus;2026-01-01T00:00:00Z;280.056456;-23.622405
Venus;2026-02-15T00:00:00Z;338.068148;-10.775195
Venus;2026-04-01T00:00:00Z;29.638567;11.628375
Venus;2026-05-16T00:00:00Z;85.983047;24.884379
Venus;2026-06-30T00:00:00Z;142.070139;16.825267
Venus;2026-08-14T00:00:00Z;186.036998;-3.992395
Venus;2026-09-28T00:00:00Z;213.263153;-20.559153
Venus;2026-11-12T00:00:00Z;200.422318;-10.902016
Venus;2050-01-01T00:00:00Z;282.285406;-23.559096
Venus;2050-02-15T00:00:00Z;339.980287;-10.024359
Venus;2050-04-01T00:00:00Z;31.489239;12.401871
Venus;2050-05-16T00:00:00Z;87.958960;25.038316
Venus;2050-06-30T00:00:00Z;143.395442;16.365075
Venus;2050-08-14T00:00:00Z;185.837532;-4.317956
Venus;2050-09-28T00:00:00Z;206.468172;-18.973083
Venus;2050-11-12T00:00:00Z;194.430121;-7.662677
Venus;2100-01-01T00:00:00Z;323.085032;-16.542622
Venus;2100-02-15T00:00:00Z;10.906333;5.496050
Venus;2100-04-01T00:00:00Z;49.457956;23.498590
Venus;2100-05-16T00:00:00Z;46.445939;20.487900
Venus;2100-06-30T00:00:00Z;53.501284;15.508661
Venus;2100-08-14T00:00:00Z;97.713471;20.906340
Venus;2100-09-28T00:00:00Z;150.792874;12.493176
Venus;2100-11-12T00:00:00Z;202.168549;-7.482641
Mars;1900-01-01T00:00:00Z;285.166268;-23.649532
Mars;1900-02-15T00:00:00Z;321.796509;-16.158875
Mars;1900-04-01T00:00:00Z;355.275986;-3.148507
Mars;1900-05-16T00:00:00Z;27.178063;10.445358
Mars;1900-06-30T00:00:00Z;59.802716;20.304540
Mars;1900-08-14T00:00:00Z;92.843012;23.760602
Mars;1900-09-28T00:00:00Z;123.181038;20.986327
Mars;1900-11-12T00:00:00Z;147.834594;14.966522
Mars;1950-01-01T00:00:00Z;183.027933;1.425601
Mars;1950-02-15T00:00:00Z;191.427116;-1.242960
Mars;1950-04-01T00:00:00Z;180.044447;3.460172
Mars;1950-05-16T00:00:00Z;174.018967;4.039154
Mars;1950-06-30T00:00:00Z;186.955590;-2.974776
Mars;1950-08-14T00:00:00Z;209.561822;-12.856179
Mars;1950-09-28T00:00:00Z;239.141251;-21.608265
Mars;1950-11-12T00:00:00Z;274.742833;-24.691196
Mars;2000-01-01T00:00:00Z;330.145195;-13.322367
Mars;2000-02-15T00:00:00Z;2.261674;0.445267
Mars;2000-03-31T00:00:00Z;33.484484;13.516862
Mars;2000-05-15T00:00:00Z;65.946016;22.120254
Mars;2000-06-29T00:00:00Z;99.127760;24.029724
Mars;2000-08-13T00:00:00Z;130.413566;19.396632
Mars;2000-09-27T00:00:00Z;158.517399;10.355131
Mars;2000-11-11T00:00:00Z;184.423195;-0.492852
Mars;2026-01-01T00:00:00Z;283.879611;-23.720007
Mars;2026-02-15T00:00:00Z;320.503690;-16.550077
Mars;2026-04-01T00:00:00Z;354.094439;-3.690696
Mars;2026-05-16T00:00:00Z;26.083135;9.965817
Mars;2026-06-30T00:00:00Z;58.770201;20.021158
Mars;2026-08-14T00:00:00Z;91.910159;23.698662
Mars;2026-09-28T00:00:00Z;122.327674;21.106282
Mars;2026-11-12T00:00:00Z;146.894571;15.273528
Mars;2050-01-01T00:00:00Z;225.478700;-16.366607
Mars;2050-02-15T00:00:00Z;254.998468;-22.400321
Mars;2050-04-01T00:00:00Z;284.989079;-23.243125
Mars;2050-05-16T00:00:00Z;311.683901;-20.041314
Mars;2050-06-30T00:00:00Z;329.136481;-17.435045
Mars;2050-08-14T00:00:00Z;326.569965;-20.701235
Mars;2050-09-28T00:00:00Z;322.024460;-19.680695
Mars;2050-11-12T00:00:00Z;338.079708;-11.112947
Mars;2100-01-01T00:00:00Z;27.115765;12.190242
Mars;2100-02-15T00:00:00Z;48.864169;19.568771
Mars;2100-04-01T00:00:00Z;76.397784;24.365166
Mars;2100-05-16T00:00:00Z;106.183847;24.032328
Mars;2100-06-30T00:00:00Z;135.197493;18.284194
Mars;2100-08-14T00:00:00Z;162.366720;8.571078
Mars;2100-09-28T00:00:00Z;188.866262;-3.046207
Mars;2100-11-12T00:00:00Z;216.990702;-14.247581
Jupiter;1900-01-01T00:00:00Z;239.177826;-19.600556
Jupiter;1900-02-15T00:00:00Z;246.772190;-20.877852
Jupiter;1900-04-01T00:00:00Z;249.395069;-21.191096
Jupiter;1900-05-16T00:00:00Z;245.839109;-20.674089
Jupiter;1900-06-30T00:00:00Z;240.357820;-19.841702
Jupiter;1900-08-14T00:00:00Z;239.412108;-19.830629
Jupiter;1900-09-28T00:00:00Z;244.394761;-20.868766
Jupiter;1900-11-12T00:00:00Z;253.472054;-22.192676
Jupiter;1950-01-01T00:00:00Z;309.048451;-19.219106
Jupiter;1950-02-15T00:00:00Z;319.739284;-16.325904
